Brand	Outside model	Inside model	Furnace model	HSPF (Region IV)	Rated heating capacity (Btu/hour)	Grant amount	AHRI / Verification reference	AHRI Classification	Series name/product line (if applicable)	SEER	Rated cooling capacity (Btu/hour)	Coefficient of Performance (COP) at -15 °C (5 °F) (at maximum capacity)	Capacity Maintenance %  (Max -15°C/5°F ÷ Rated 8.3°C/47°F)
CARRIER	38MARBQ24AA3	CAP**3017AL*	59SC5B060E14**12	10.5	25400	$5,000	207098569	HRCU-A-CB	Performance	15	22200	2	71
CARRIER	38MARBQ24AA3	CAP**3014AL*	58TP*A045V14**12	10.5	25400	$5,000	207098473	HRCU-A-CB	Performance	15.5	22000	2	70
CARRIER	38MARBQ24AA3	CNPV*3014AL*	58TP*A045V14**12	10.5	25400	$5,000	207098474	HRCU-A-CB	Performance	15.5	22000	2	70
CARRIER	38MARBQ24AA3	CNPV*3017AL*	58TP*A070V17**16	10.5	25400	$5,000	207098477	HRCU-A-CB	Performance	15.5	22200	2	70
CARRIER	38MARBQ24AA3	CNPV*3617AL*	58TP*A070V17**16	10.5	25400	$5,000	207098479	HRCU-A-CB	Performance	15.5	22200	2	70
CARRIER	38MARBQ24AA3	CAP**3017AL*	58TP*A070V17**16	10.5	25400	$5,000	207098480	HRCU-A-CB	Performance	15.5	22200	2	70
CARRIER	38MARBQ24AA3	CNPV*3017AL*	59SU5A040E17**12	10.5	25400	$5,000	207098483	HRCU-A-CB	Performance	15.5	22400	2	70
CARRIER	38MARBQ24AA3	CNPV*3617AL*	59SU5A040E17**12	10.5	25400	$5,000	207098485	HRCU-A-CB	Performance	15.5	22400	2	70
CARRIER	38MARBQ24AA3	CAP**3017AL*	59SU5A040E17**12	10.5	25400	$5,000	207098486	HRCU-A-CB	Performance	15.5	22400	2	70
BRYANT	38MARBQ24AA3	CAP**3017AL*	926TB42060V17***	10.5	25400	$5,000	207098699	HRCU-A-CB	Preferred	15.5	21800	2	70
BRYANT	38MARBQ24AA3	CAP**3617AL*	926TB48080V17***	10.5	25400	$5,000	207098703	HRCU-A-CB	Preferred	15.5	21800	2	70
BRYANT	38MARBQ24AA3	CAP**3017AL*	926TB48080V17***	10.5	25400	$5,000	207098705	HRCU-A-CB	Preferred	15.5	21600	2	70
BRYANT	38MARBQ24AA3	CNPV*3621AL*	915SB42060E17***	10.5	25400	$5,000	207098710	HRCU-A-CB	Preferred	15.5	22000	2	70
BRYANT	38MARBQ24AA3	CAP**3617AL*	915SB36060E14***	10.5	25400	$5,000	207098713	HRCU-A-CB	Preferred	15	22200	2	70
BRYANT	38MARBQ24AA3	CAP**3017AL*	915SB36060E14***	10.5	25400	$5,000	207098714	HRCU-A-CB	Preferred	15	22200	2	71
BRYANT	38MARBQ24AA3	CAP**3621AL*	915SB36040E17***	10.5	25400	$5,000	207098720	HRCU-A-CB	Preferred	15	21800	2	70
BRYANT	38MARBQ24AA3	CAP**3014AL*	82*TA36045V14***	10.5	25400	$5,000	207098618	HRCU-A-CB	Preferred	15.5	22000	2	70
BRYANT	38MARBQ24AA3	CNPV*3014AL*	82*TA36045V14***	10.5	25400	$5,000	207098619	HRCU-A-CB	Preferred	15.5	22000	2	70
BRYANT	38MARBQ24AA3	FX4DNF025L		10.5	25400	$5,000	207098587	HRCU-A-CB	Preferred	15.5	22000	2	70
BRYANT	38MARBQ24AA3	CAP**3014AL*	8(0,1)*SA36045E14***	10.5	25400	$5,000	207098594	HRCU-A-CB	Preferred	15.5	22400	2	70
BRYANT	38MARBQ24AA3	CNPV*3014AL*	8(0,1)*SA36045E14***	10.5	25400	$5,000	207098595	HRCU-A-CB	Preferred	15	22400	2	70
BRYANT	38MARBQ24AA3	CAP**3014AL*	8(0,1)*SA36070E14***	10.5	25400	$5,000	207098599	HRCU-A-CB	Preferred	15.5	22000	2	70
BRYANT	38MARBQ24AA3	CNPV*3014AL*	8(0,1)*SA36070E14***	10.5	25400	$5,000	207098600	HRCU-A-CB	Preferred	15.5	22000	2	70
BRYANT	38MARBQ24AA3	CNPV*3017AL*	8(0,1)*SA36070E17***	10.5	25400	$5,000	207098602	HRCU-A-CB	Preferred	15.5	22200	2	70
BRYANT	38MARBQ24AA3	CNPV*3617AL*	8(0,1)*SA36070E17***	10.5	25400	$5,000	207098604	HRCU-A-CB	Preferred	15.5	22200	2	70
BRYANT	38MARBQ24AA3	CAP**3017AL*	8(0,1)*SA36070E17***	10.5	25400	$5,000	207098605	HRCU-A-CB	Preferred	15.5	22200	2	70
BRYANT	38MARBQ24AA3	CNPV*3017AL*	83*SA36040E17***	10.5	25400	$5,000	207098607	HRCU-A-CB	Preferred	16	22000	2	70
BRYANT	38MARBQ24AA3	CNPV*3617AL*	83*SA36040E17***	10.5	25400	$5,000	207098609	HRCU-A-CB	Preferred	16	22000	2	70
BRYANT	38MARBQ24AA3	CAP**3017AL*	83*SA36040E17***	10.5	25400	$5,000	207098610	HRCU-A-CB	Preferred	16	22000	2	70
CARRIER	38MARBQ24AA3	CNPV*3017AL*	58SU*A040E17**12	10.5	25400	$5,000	207098462	HRCU-A-CB	Performance	16	22000	2	70
CARRIER	38MARBQ24AA3	CNPV*3617AL*	58SU*A040E17**12	10.5	25400	$5,000	207098464	HRCU-A-CB	Performance	16	22000	2	70
CARRIER	38MARBQ24AA3	CAP**3017AL*	58SU*A040E17**12	10.5	25400	$5,000	207098465	HRCU-A-CB	Performance	16	22000	2	70
CARRIER	38MARBQ24AA3	CAP**3617AL*	59TP6B040V17**12	10.5	25400	$5,000	207098541	HRCU-A-CB	Performance	15	22200	2	70
CARRIER	38MARBQ24AA3	CAP**3014AL*	59TP6B060V14**12	10.5	25400	$5,000	207098547	HRCU-A-CB	Performance	15	22000	2	71
CARRIER	38MARBQ24AA3	CAP**3017AL*	59TP6B060V17**14	10.5	25400	$5,000	207098554	HRCU-A-CB	Performance	15.5	21800	2	70
CARRIER	38MARBQ24AA3	CAP**3014AL*	59SC2D060E14**12	10.5	25400	$5,000	207098495	HRCU-A-CB	Performance	15	22400	2	70
BRYANT	38MARBQ24AA3	CNPV*3017AL*	82*TA48070V17***	10.5	25400	$5,000	207098622	HRCU-A-CB	Preferred	15.5	22200	2	70
BRYANT	38MARBQ24AA3	CNPV*3617AL*	82*TA48070V17***	10.5	25400	$5,000	207098624	HRCU-A-CB	Preferred	15.5	22200	2	70
BRYANT	38MARBQ24AA3	CAP**3017AL*	82*TA48070V17***	10.5	25400	$5,000	207098625	HRCU-A-CB	Preferred	15.5	22200	2	70
BRYANT	38MARBQ24AA3	CNPV*3017AL*	935SA36040E17***	10.5	25400	$5,000	207098628	HRCU-A-CB	Preferred	15.5	22400	2	70
BRYANT	38MARBQ24AA3	CNPV*3617AL*	935SA36040E17***	10.5	25400	$5,000	207098630	HRCU-A-CB	Preferred	15.5	22400	2	70
BRYANT	38MARBQ24AA3	CAP**3017AL*	935SA36040E17***	10.5	25400	$5,000	207098631	HRCU-A-CB	Preferred	15.5	22400	2	70
BRYANT	38MARBQ24AA3	CAP**3014AL*	912SD36060E14***	10.5	25400	$5,000	207098640	HRCU-A-CB	Preferred	15	22400	2	70
CARRIER	38MARBQ24AA3	CAP**3017AL*	59SC5B040E17**12	10.5	25600	$5,000	207098521	HRCU-A-CB	Performance	15	21800	2	70
BRYANT	38MARBQ24AA3	CAP**3014AL*	926TB30040V14***	10.5	25600	$5,000	207098681	HRCU-A-CB	Preferred	15	21600	2	70
CARRIER	38MARBQ24AA3	CNPV*2414AL*	58S(B,C)*A045E14**12	10.5	25600	$5,000	207098447	HRCU-A-CB	Performance	15	22200	2	70
CARRIER	38MARBQ24AA3	CNPV*2417AL*	59TP6B080V17**16	10.5	25600	$5,000	207098555	HRCU-A-CB	Performance	15	21800	2	70
CARRIER	38MARBQ24AA3	CNPV*2414AL*	58TP*A045V14**12	10.5	25600	$5,000	207098471	HRCU-A-CB	Performance	15	21800	2	70
CARRIER	38MARBQ24AA3	CNPV*2417AL*	58TP*A070V17**16	10.5	25600	$5,000	207098475	HRCU-A-CB	Performance	15.5	21800	2	70
CARRIER	38MARBQ24AA3	CNPV*2417AL*	59SU5A040E17**12	10.5	25600	$5,000	207098481	HRCU-A-CB	Performance	15	22000	2	70
BRYANT	38MARBQ24AA3	CNPV*2417AL*	926TB48080V17***	10.5	25600	$5,000	207098700	HRCU-A-CB	Preferred	15	21800	2	70
BRYANT	38MARBQ24AA3	CNPV*2414AL*	82*TA36045V14***	10.5	25600	$5,000	207098616	HRCU-A-CB	Preferred	15	21800	2	70
BRYANT	38MARBQ24AA3	CNPV*2417AL*	82*TA48070V17***	10.5	25600	$5,000	207098620	HRCU-A-CB	Preferred	15.5	21800	2	70
BRYANT	38MARBQ24AA3	CNPV*2414AL*	8(0,1)*SA36045E14***	10.5	25600	$5,000	207098592	HRCU-A-CB	Preferred	15	22200	2	70
BRYANT	38MARBQ24AA3	CNPV*2414AL*	8(0,1)*SA36070E14***	10.5	25600	$5,000	207098597	HRCU-A-CB	Preferred	15.5	21800	2	70
BRYANT	38MARBQ24AA3	CNPV*2417AL*	83*SA48060E17***	10.5	25600	$5,000	207098611	HRCU-A-CB	Preferred	15	22600	2	70
BRYANT	38MARBQ24AA3	CAP**2417AL*	83*SA48060E17***	10.5	25600	$5,000	207098612	HRCU-A-CB	Preferred	15.5	22800	2	71
CARRIER	38MARBQ24AA3	CNPV*2417AL*	58SU*A060E17**16	10.5	25600	$5,000	207098466	HRCU-A-CB	Performance	15	22600	2	70
CARRIER	38MARBQ24AA3	CAP**2417AL*	58SU*A060E17**16	10.5	25600	$5,000	207098467	HRCU-A-CB	Performance	15.5	22800	2	71
CARRIER	38MARBQ24AA3	CAP**3014AL*	59TP6B040V14**10	10.5	25600	$5,000	207098536	HRCU-A-CB	Performance	15	21600	2	70
CARRIER	38MARBQ24AA3	CNPV*2414AL*	59SC2D060E14**12	10.5	25600	$5,000	207098493	HRCU-A-CB	Performance	15	22200	2	70
BRYANT	38MARBQ24AA3	CNPV*2417AL*	935SA36040E17***	10.5	25600	$5,000	207098626	HRCU-A-CB	Preferred	15	22000	2	70
BRYANT	38MARBQ24AA3	CNPV*2414AL*	912SD36060E14***	10.5	25600	$5,000	207098638	HRCU-A-CB	Preferred	15	22200	2	70
BRYANT	38MARBQ24AA3	CAP**3017AL*	915SB36040E17***	10.5	25600	$5,000	207098666	HRCU-A-CB	Preferred	15	21800	2	70
CARRIER	38MARBQ24AA3	CNPV*2414AL*	58S(B,C)*A070E14**12	10.5	25600	$5,000	207098452	HRCU-A-CB	Performance	15.5	21800	2	70
CARRIER	38MARBQ24AA3	CAP**2414AL*	59SC2D060E17**14	10.5	25800	$5,000	207098499	HRCU-A-CB	Performance	15.5	22200	2	70
BRYANT	38MARBQ24AA3	CAP**2417AL*	912SD48080E17***	10.5	25800	$5,000	207098648	HRCU-A-CB	Preferred	15.5	22200	2	70
CARRIER	38MARBQ24AA3	CAP**2414AL*	58S(B,C)*A045E14**12	10.5	25800	$5,000	207098448	HRCU-A-CB	Performance	15	22200	1.95	70
CARRIER	38MARBQ24AA3	CAP**2414AL*	58S(B,C)*A070E14**12	10.5	25800	$5,000	207098453	HRCU-A-CB	Performance	15.5	21800	2	70
CARRIER	38MARBQ24AA3	CAP**2417AL*	59TP6B080V17**16	10.5	25800	$5,000	207098556	HRCU-A-CB	Performance	15	22000	2	70
CARRIER	38MARBQ24AA3	CAP**2414AL*	58TP*A045V14**12	10.5	25800	$5,000	207098472	HRCU-A-CB	Performance	15	21800	1.95	70
CARRIER	38MARBQ24AA3	CAP**2417AL*	58TP*A070V17**16	10.5	25800	$5,000	207098476	HRCU-A-CB	Performance	15.5	22000	1.95	70
CARRIER	38MARBQ24AA3	CAP**2417AL*	59SU5A040E17**12	10.5	25800	$5,000	207098482	HRCU-A-CB	Performance	15	22000	1.95	70
BRYANT	38MARBQ24AA3	CAP**2417AL*	926TB48080V17***	10.5	25800	$5,000	207098701	HRCU-A-CB	Preferred	15	22000	2	70
BRYANT	38MARBQ24AA3	CAP**2414AL*	82*TA36045V14***	10.5	25800	$5,000	207098617	HRCU-A-CB	Preferred	15	21800	1.95	70
BRYANT	38MARBQ24AA3	CAP**2417AL*	82*TA48070V17***	10.5	25800	$5,000	207098621	HRCU-A-CB	Preferred	15.5	22000	1.95	70
BRYANT	38MARBQ24AA3	CAP**2414AL*	8(0,1)*SA36045E14***	10.5	25800	$5,000	207098593	HRCU-A-CB	Preferred	15	22200	1.95	70
BRYANT	38MARBQ24AA3	CAP**2414AL*	8(0,1)*SA36070E14***	10.5	25800	$5,000	207098598	HRCU-A-CB	Preferred	15.5	21800	2	70
CARRIER	38MARBQ24AA3	CAP**2414AL*	59SC2D060E14**12	10.5	25800	$5,000	207098494	HRCU-A-CB	Performance	15	22200	2	70
BRYANT	38MARBQ24AA3	CAP**2417AL*	935SA36040E17***	10.5	25800	$5,000	207098627	HRCU-A-CB	Preferred	15	22000	1.95	70
BRYANT	38MARBQ24AA3	CAP**2414AL*	912SD36060E14***	10.5	25800	$5,000	207098639	HRCU-A-CB	Preferred	15	22200	2	70
BRYANT	38MARBQ24AA3	CAP**2414AL*	912SD42060E17***	10.5	25800	$5,000	207098644	HRCU-A-CB	Preferred	15.5	22200	2	70
CARRIER	38MARBQ24AA3	CAP**2417AL*	59SC2D080E17**16	10.5	25800	$5,000	207098503	HRCU-A-CB	Performance	15.5	22200	2	70
KINGHOME	KM24UH5O			10.5	26000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	204462623	HRCU-A-CB-O		23	22000	1.81	108
TOSOT	TM24H5O			10.5	26000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	204344219	HRCU-A-CB-O		23	22000	1.8	115
ACD	MUD24KCH23S-O			10.5	26000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	206428585	HMSV-A-CB-O	ULTRA HEAT FREE MATCH	23	22000	1.81	108
GREE	GWHD(24)ND3JO			10.5	26000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	202557961	HRCU-A-CB-O	ULTRA HEAT FREE MATCH	23	22000	1.8	115
GREE	MULTIU24HP230V1DO			10.5	26000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	203989086	HRCU-A-CB-O		23	22000	1.8	115
PANASONIC	CU-3E19RBU-5			10.5	26000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	10221199	HMSV-A-CB	RAC Multi E	22	19000	2.1	72
LG	LUU249HV	LHN248HV		10.5	27000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	203161353	HRCU-A-CB-O		19	24000	2.06	87
LG	LUU249HV	LCN248HV		10.5	27000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	203161150	HRCU-A-CB-O		20	24000	2	87
HAIER	1U24AP2VHA	AW24ES2VHB		10.5	27600	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	202583713	HRCU-A-CB	Advanced Plus	20	22000	1.8	72
PAYNE	38MAQB30R--3	FV4CN(B,F)003		10.5	29200	$5,000	204344202	HRCU-A-CB	Mid-tier	17.5	28800	2.53	76
BRYANT	38MAQB30R--3	FV4CN(B,F)003		10.5	29200	$5,000	204344197	HRCU-A-CB	Preferred Series	17.5	28800	2.53	76
CARRIER	38MAQB30R--3	FV4CN(B,F)003		10.5	29200	$5,000	204344192	HRCU-A-CB	Performance Series	17.5	28800	2.53	76
CARRIER	25VNA036A*030*	CAP**3621AL*+UI	59MN7B080C21**20	10.5	30800	$5,000	204430212	HRCU-A-CB		18.5	33000	1.86	85
CARRIER	25VNA036A*030*	CAP**3621AL*+UI	59MN7B100C21**22	10.5	30800	$5,000	204430215	HRCU-A-CB		18.5	33400	1.86	85
BRYANT	280ANV036*0**A*	CNPV*3621AL*+UI	987MB66100C21***	10.5	30800	$5,000	204430547	HRCU-A-CB		18	33200	2.33	85
BRYANT	280ANV036*0**A*	CAP**3621AL*+UI	987MB60080C21***	10.5	30800	$5,000	204430214	HRCU-A-CB		18.5	33400	2.3	85
BRYANT	280ANV036*0**A*	CAP**3621AL*+UI	987MB66100C21***	10.5	30800	$5,000	204430216	HRCU-A-CB		18.5	33400	2.3	85
CARRIER	25VNA036A*030*	CNPV*3621AL*+UI	59MN7B100C21**22	10.5	30800	$5,000	204430545	HRCU-A-CB		18	33000	1.84	85
BRYANT	280ANV036*0**A*	CAP**3621AL*+UI	88*TA60070C21***	10.5	31000	$5,000	204430200	HRCU-A-CB		19	33400	2.34	85
CARRIER	25VNA036A*030*	CAP**3621AL*+UI	58TN*A070C21**20	10.5	31000	$5,000	204430198	HRCU-A-CB		19	33000	1.84	85
CARRIER	25VNA036A*030*	CAP**3621AL*+UI	59MN7B060C21**20	10.5	31200	$5,000	204430229	HRCU-A-CB		18.5	33200	1.82	85
BRYANT	280ANV036*0**A*	CAP**3621AL*+UI	987MB60060C21***	10.5	31200	$5,000	204430230	HRCU-A-CB		18.5	33000	2.38	85
BRYANT	280ANV036*0**A*	CAP**3621AL*+UI	986TC42080C17***	10.5	31200	$5,000	204430208	HRCU-A-CB		18.5	33000	2.38	85
CARRIER	25VNA036A*030*	CAP**3621AL*+UI	59TN6B080C17**14	10.5	31200	$5,000	204430207	HRCU-A-CB		18.5	32800	1.82	85
CARRIER	25VNA036A*030*	CAP**3621AL*+UI	58TN*A045C17**12	10.5	31400	$5,000	204430192	HRCU-A-CB		18	33200	1.81	85
BRYANT	280ANV036*0**A*	CAP**3621AL*+UI	88*TA36045C17***	10.5	31400	$5,000	204430194	HRCU-A-CB		18	32800	2.41	85
BRYANT	280ANV036*0**A*	CAP**3617AL*+UI	88*TA36045C17***	10.5	31400	$5,000	204430173	HRCU-A-CB		18	32600	2.45	85
CARRIER	25VNA036A*030*	CAP**4221AL*+UI	59MN7B060C21**20	10.5	32000	$5,000	204430297	HRCU-A-CB		18.5	33600	1.84	84
BRYANT	280ANV036*0**A*	CAP**4224AL*+UI	987MB60060C21***	10.5	32000	$5,000	204430329	HRCU-A-CB		18.5	33200	2.37	83
BRYANT	280ANV036*0**A*	CAP**4221AL*+UI	987MB60060C21***	10.5	32000	$5,000	204430299	HRCU-A-CB		18.5	33200	2.38	84
CARRIER	25VNA036A*030*	CAP**4224AL*+UI	59MN7B060C21**20	10.5	32000	$5,000	204430328	HRCU-A-CB		18.5	33600	1.84	83
CARRIER	25VNA036A*030*	CNPV*4221AL*+UI	58TN*A070C21**20	10.5	32200	$5,000	204430603	HRCU-A-CB		18.5	33400	1.85	83
CARRIER	25VNA036A*030*	CNPV*4221AL*+UI	59MN7B080C21**20	10.5	32200	$5,000	204430644	HRCU-A-CB		18.5	33200	1.85	82
BRYANT	280ANV036*0**A*	CNPV*4221AL*+UI	987MB66100C21***	10.5	32200	$5,000	204430661	HRCU-A-CB		18.5	33600	2.33	82
BRYANT	280ANV036*0**A*	CNPV*4221AL*+UI	88*TA60070C21***	10.5	32200	$5,000	204430604	HRCU-A-CB		18.5	33600	2.35	83
BRYANT	280ANV036*0**A*	CNPV*4221AL*+UI	987MB60080C21***	10.5	32200	$5,000	204430649	HRCU-A-CB		18.5	33400	2.33	82
CARRIER	25VNA036A*030*	CNPV*4221AL*+UI	59MN7B100C21**22	10.5	32200	$5,000	204430654	HRCU-A-CB		18.5	33400	1.85	82
BRYANT	280ANV036*0**A*	CAP**4221AL*+UI	986TC42060C17***	10.5	32400	$5,000	204430274	HRCU-A-CB		18	33000	2.44	83
CARRIER	25VNA036A*030*	CAP**4221AL*+UI	59TN6B060C17**14	10.5	32400	$5,000	204430273	HRCU-A-CB		18	33600	1.8	83
BRYANT	280ANV036*0**A*	CNPV*4221AL*+UI	88*TA36045C17***	10.5	32800	$5,000	204430598	HRCU-A-CB		18	33000	2.46	83
CARRIER	25VNA036A*030*	CNPV*4221AL*+UI	58TN*A045C17**12	10.5	32800	$5,000	204430596	HRCU-A-CB		18	33800	1.81	83
FUJITSU	FO3620RVJCAB	FCC6021ESA	FF50173LT80M	10.5	33000	$5,000	202843126	HRCU-A-CB		19.5	34200	2.25	96
RUUD	UP2036BJV	RCF6021SEA	U802VA050317M	10.5	33000	$5,000	202141116	HRCU-A-CB		19.5	34600	2.25	96
RHEEM	RP2036BJV	RCF6021SEA	R802VA050317M	10.5	33000	$5,000	202141064	HRCU-A-CB		19.5	34600	2.25	96
BRYANT	280ANV036*0**A*	CNPV*4821AL*+UI	986TC42060C17***	10.5	33400	$5,000	204430724	HRCU-A-CB		18.5	33600	2.33	81
CARRIER	25VNA036A*030*	CNPV*4821AL*+UI	59TN6B060C17**14	10.5	33400	$5,000	204430719	HRCU-A-CB		18.5	34400	1.89	81
CARRIER	25VNA036A*030*	CSPH*3612AL*+UI	58TN*A135C24**22	10.5	33600	$5,000	204430973	HRCU-A-CB		19	34200	1.9	79
CARRIER	25VNA036A*030*	CSPH*3612AL*+UI	59TN6B120C24**22	10.5	33600	$5,000	204430994	HRCU-A-CB		18.5	33200	1.9	79
CARRIER	25VNA036A*030*	CNPV*4217AL*+UI	59TN6B080C17**14	10.5	33600	$5,000	204430579	HRCU-A-CB		18.5	33400	1.84	81
CARRIER	25VNA036A*030*	CNPV*4217AL*+UI	58TN*A070C14**12	10.5	33600	$5,000	204430589	HRCU-A-CB		18.5	33600	1.86	80
BRYANT	280ANV036*0**A*	CSPH*3612AL*+UI	987MB66100C21***	10.5	33600	$5,000	204431007	HRCU-A-CB		18.5	33400	2.31	79
BRYANT	280ANV036*0**A*	CNPV*4217AL*+UI	986TC42080C17***	10.5	33600	$5,000	204430583	HRCU-A-CB		18.5	33400	2.41	81
BRYANT	280ANV036*0**A*	CNPV*4217AL*+UI	88*TA36070C14***	10.5	33600	$5,000	204430592	HRCU-A-CB		18.5	33400	2.38	80
BRYANT	280ANV036*0**A*	CSPH*3612AL*+UI	88*TA66135C24***	10.5	33600	$5,000	204430977	HRCU-A-CB		19	33800	2.29	79
BRYANT	280ANV036*0**A*	CSPH*3612AL*+UI	986TC66120C24***	10.5	33600	$5,000	204430996	HRCU-A-CB		18.5	33600	2.29	79
CARRIER	25VNA036A*030*	CSPH*3612AL*+UI	59MN7B100C21**22	10.5	33600	$5,000	204431005	HRCU-A-CB		18.5	33400	1.89	79
CARRIER	25VNA036A*030*	CNPV*6024AL*+UI	59MN7B060C21**20	10.5	33800	$5,000	204430927	HRCU-A-CB		19	34800	1.92	79
BRYANT	280ANV036*0**A*	CSPH*4812AL*+UI	987MB60060C21***	10.5	33800	$5,000	204431298	HRCU-A-CB		18.5	33800	2.26	79
CARRIER	25VNA036A*030*	CSPH*4812AL*+UI	59MN7B060C21**20	10.5	33800	$5,000	204431297	HRCU-A-CB		18.5	34600	1.93	79
CARRIER	25VNA036A*030*	CAP**4221AL*+UI & 59MN7A060V21**20		10.5	33800	$5,000	9892708	HRCU-A-CB	Infinity® 20 Heat Pump with Greenspeed® Intelligence	18.5	33200	2.21	76
CARRIER	25VNA036A*030*	CAP**4224AL*+UI & 59MN7A060V21**20		10.5	33800	$5,000	9892711	HRCU-A-CB	Infinity® 20 Heat Pump with Greenspeed® Intelligence	18.5	33200	2.26	76
CARRIER	25VNA036A*030*	CNPV*6024AL*+UI & 59MN7A060V21**20		10.5	33800	$5,000	9892735	HRCU-A-CB	Infinity® 20 Heat Pump with Greenspeed® Intelligence	19	34600	2.24	76
CARRIER	25VNA036A*030*	CSPH*4812AL*+UI & 59MN7A060V21**20		10.5	33800	$5,000	9892744	HRCU-A-CB	Infinity® 20 Heat Pump with Greenspeed® Intelligence	18.5	33800	2.3	76
CARRIER	25VNA036A*030*	CNPV*4217AL*+UI	59TN6B060C17**14	10.5	33800	$5,000	204430575	HRCU-A-CB		18	33800	1.82	81
CARRIER	25VNA036A*030*	CSPH*3612AL*+UI	59MN7B080C21**20	10.5	33800	$5,000	204431001	HRCU-A-CB		18.5	33800	1.89	79
BRYANT	280ANV036*0**A*	CNPV*4217AL*+UI	986TC42060C17***	10.5	33800	$5,000	204430576	HRCU-A-CB		18	33400	2.45	81
BRYANT	280ANV036*0**A*	CNPV*6024AL*+UI & 98(6*B,7MA)60060V21***		10.5	33800	$5,000	9893684	HRCU-A-CB	Bryant® Extreme Heat Pump	19	34600	2.24	76
BRYANT	280ANV036*0**A*	CSPH*4812AL*+UI & 98(6*B,7MA)60060V21***		10.5	33800	$5,000	9893693	HRCU-A-CB	Bryant® Extreme Heat Pump	18.5	33800	2.3	76
BRYANT	280ANV036*0**A*	CNPV*6024AL*+UI	987MB60060C21***	10.5	33800	$5,000	204430931	HRCU-A-CB		19	34600	2.27	79
BRYANT	280ANV036*0**A*	CSPH*3612AL*+UI	88*TA60070C21***	10.5	33800	$5,000	204430965	HRCU-A-CB		18.5	33600	2.32	79
BRYANT	280ANV036*0**A*	CSPH*3612AL*+UI	987MB60080C21***	10.5	33800	$5,000	204431002	HRCU-A-CB		18.5	33400	2.32	79
CARRIER	25VNA036A*030*	CSPH*3612AL*+UI	58TN*A070C21**20	10.5	33800	$5,000	204430960	HRCU-A-CB		18.5	33800	1.89	79
CARRIER	25VNA036A*030*	CSPH*3612AL*+UI	59TN6B080C17**14	10.5	34000	$5,000	204430991	HRCU-A-CB		18	33000	1.85	80
BRYANT	280ANV036*0**A*	CSPH*4812AL*+UI	986TC42060C17***	10.5	34000	$5,000	204431246	HRCU-A-CB		18	33400	2.31	79
CARRIER	25VNA036A*030*	CSPH*4812AL*+UI	59TN6B060C17**14	10.5	34000	$5,000	204431244	HRCU-A-CB		18	34200	1.9	79
CARRIER	25VNA036A*030*	CAP**3621AL*+UI & 59MN7A060V21**20		10.5	34000	$5,000	9892705	HRCU-A-CB	Infinity® 20 Heat Pump with Greenspeed® Intelligence	18.5	33000	2.16	77
CARRIER	25VNA036A*030*	CAP**3621AL*+UI & 59*N*A100V21**22		10.5	34000	$5,000	9892707	HRCU-A-CB	Infinity® 20 Heat Pump with Greenspeed® Intelligence	18.5	33400	2.2	77
CARRIER	25VNA036A*030*	CSPH*3612AL*+UI & 59*N*A080V21**20		10.5	34000	$5,000	9892739	HRCU-A-CB	Infinity® 20 Heat Pump with Greenspeed® Intelligence	18.5	33400	2.28	77
CARRIER	25VNA036A*030*	CSPH*3612AL*+UI & 59*N*A100V21**22		10.5	34000	$5,000	9892740	HRCU-A-CB	Infinity® 20 Heat Pump with Greenspeed® Intelligence	18.5	33400	2.33	77
CARRIER	25VNA036A*030*	CSPH*4212AL*+UI & 59MN7A060V21**20		10.5	34000	$5,000	9892741	HRCU-A-CB	Infinity® 20 Heat Pump with Greenspeed® Intelligence	18	33400	2.37	77
CARRIER	25VNA036A*030*	CNPV*4217AL*+UI	58TN*A045C17**12	10.5	34000	$5,000	204430565	HRCU-A-CB		18	32800	1.82	80
CARRIER	25VNA036A*030*	CSPH*3612AL*+UI	58TN*A070C14**12	10.5	34000	$5,000	204431041	HRCU-A-CB		18.5	34000	1.86	79
CARRIER	25VNA036A*030*	CSPH*3612AL*+UI	59MN7B060C21**20	10.5	34000	$5,000	204431072	HRCU-A-CB		18	34200	1.86	79
BRYANT	280ANV036*0**A*	CAP**3621AL*+UI & 98(6*B,7MA)60060V21***		10.5	34000	$5,000	9893654	HRCU-A-CB	Bryant® Extreme Heat Pump	18.5	33000	2.16	77
BRYANT	280ANV036*0**A*	CAP**3621AL*+UI & 98(6*B,7*A)66100V21***		10.5	34000	$5,000	9893656	HRCU-A-CB	Bryant® Extreme Heat Pump	18.5	33400	2.2	77
BRYANT	280ANV036*0**A*	CNPV*4217AL*+UI	88*TA36045C17***	10.5	34000	$5,000	204430568	HRCU-A-CB		18	33400	2.45	80
